UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
13608,367257.04,2258339.478,885.292,BS_INV-26_B_S01,1/28/2026
13609,367203.948,2258319.948,885.237,BS_INV-26_B_S01,1/28/2026
13610,367283.704,2258339.431,884.366,BS_INV-26_B_S01,1/28/2026
13611,367025.352,2258358.965,884.97,BS_INV-26_B_S01,1/28/2026
13612,367051.988,2258358.973,885.72,BS_INV-26_B_S01,1/28/2026
13613,367074.24,2258359.007,885.74,BS_INV-26_B_S01,1/28/2026
13614,367124.126,2258358.998,885.796,BS_INV-26_B_S01,1/28/2026
13615,367150.685,2258359.003,885.694,BS_INV-26_B_S01,1/28/2026
13616,367177.258,2258358.979,885.52,BS_INV-26_B_S01,1/28/2026
13617,367203.929,2258358.97,885.434,BS_INV-26_B_S01,1/28/2026
13618,367230.489,2258358.978,885.554,BS_INV-26_B_S01,1/28/2026
13619,367257.107,2258358.907,885.133,BS_INV-26_B_S01,1/28/2026
13620,367283.769,2258358.935,884.48,BS_INV-26_B_S01,1/28/2026
13621,367310.206,2258358.947,883.814,BS_INV-26_B_S01,1/28/2026
13622,367025.381,2258378.459,885.609,BS_INV-26_B_S01,1/28/2026
13623,367052.017,2258378.457,885.843,BS_INV-26_B_S01,1/28/2026
13624,367310.159,2258339.439,883.229,BS_INV-26_B_S01,1/28/2026
13625,367074.224,2258378.434,886.194,BS_INV-26_B_S01,1/28/2026
13626,367177.228,2258319.956,885.039,BS_INV-26_B_S01,1/28/2026
13627,367124.085,2258319.954,884.897,BS_INV-26_B_S01,1/28/2026
13628,367257.081,2258261.354,884.162,BS_INV-26_B_S01,1/28/2026
13629,367283.673,2258261.358,883.286,BS_INV-26_B_S01,1/28/2026
13630,367310.236,2258261.396,882.02,BS_INV-26_B_S01,1/28/2026
13631,367025.421,2258280.882,883.368,BS_INV-26_B_S01,1/28/2026
13632,367052.025,2258280.886,883.849,BS_INV-26_B_S01,1/28/2026
13633,367074.283,2258280.925,883.694,BS_INV-26_B_S01,1/28/2026
13634,367124.113,2258280.942,883.615,BS_INV-26_B_S01,1/28/2026
13635,367150.7,2258280.934,883.555,BS_INV-26_B_S01,1/28/2026
13636,367177.372,2258280.833,883.881,BS_INV-26_B_S01,1/28/2026
13637,367203.884,2258280.887,883.931,BS_INV-26_B_S01,1/28/2026
13638,367230.44,2258280.878,884.195,BS_INV-26_B_S01,1/28/2026
13639,367257.081,2258280.879,884.106,BS_INV-26_B_S01,1/28/2026
13640,367283.666,2258280.85,883.006,BS_INV-26_B_S01,1/28/2026
13641,367150.649,2258319.942,884.871,BS_INV-26_B_S01,1/28/2026
13642,367310.209,2258280.898,882.198,BS_INV-26_B_S01,1/28/2026
13643,367052.008,2258300.428,884.299,BS_INV-26_B_S01,1/28/2026
13644,367074.33,2258300.455,884.313,BS_INV-26_B_S01,1/28/2026
13645,367124.171,2258300.387,884.023,BS_INV-26_B_S01,1/28/2026
13646,367150.668,2258300.406,884.136,BS_INV-26_B_S01,1/28/2026
13647,367177.354,2258300.387,884.257,BS_INV-26_B_S01,1/28/2026
13648,367203.899,2258300.358,884.394,BS_INV-26_B_S01,1/28/2026
13649,367230.554,2258300.349,884.478,BS_INV-26_B_S01,1/28/2026
13650,367257.14,2258300.353,884.173,BS_INV-26_B_S01,1/28/2026
13651,367283.768,2258300.326,883.265,BS_INV-26_B_S01,1/28/2026
13652,367310.26,2258300.368,882.323,BS_INV-26_B_S01,1/28/2026
13653,367025.43,2258319.909,884.23,BS_INV-26_B_S01,1/28/2026
13654,367051.926,2258319.954,885.027,BS_INV-26_B_S01,1/28/2026
13655,367074.294,2258319.918,885.003,BS_INV-26_B_S01,1/28/2026
13656,367025.501,2258300.414,883.686,BS_INV-26_B_S01,1/28/2026
13657,366941.328,2257676.544,880.927,BS_INV-26_B_S01,1/28/2026
13658,367124.131,2258378.465,885.93,BS_INV-26_B_S01,1/28/2026
13659,367177.277,2258378.405,885.319,BS_INV-26_B_S01,1/28/2026
13689,367150.645,2258378.453,885.633,BS_INV-26_B_S01,1/28/2026
13692,367203.838,2258378.456,885.109,BS_INV-26_B_S01,1/28/2026
13693,367230.398,2258378.401,884.895,BS_INV-26_B_S01,1/28/2026
13694,367257.098,2258378.446,884.613,BS_INV-26_B_S01,1/28/2026
13695,367283.734,2258378.439,884.357,BS_INV-26_B_S01,1/28/2026
13696,367310.252,2258378.415,884.273,BS_INV-26_B_S01,1/28/2026
13722,366914.833,2257676.498,880.888,BS_INV-26_B_S01,1/28/2026
13723,367283.633,2257656.951,883.861,BS_INV-26_B_S01,1/28/2026
13996,366914.662,2257578.938,881.593,BS_INV-26_B_S01,1/28/2026
13997,366941.295,2257578.943,881.043,BS_INV-26_B_S01,1/28/2026
13998,366967.88,2257578.88,880.966,BS_INV-26_B_S01,1/28/2026
13999,366994.454,2257578.983,881.033,BS_INV-26_B_S01,1/28/2026
14000,367021.084,2257578.926,881.089,BS_INV-26_B_S01,1/28/2026
14001,367047.69,2257578.946,881.092,BS_INV-26_B_S01,1/28/2026
14002,367074.227,2257578.94,881.159,BS_INV-26_B_S01,1/28/2026
14003,367124.1,2257578.951,881.088,BS_INV-26_B_S01,1/28/2026
14004,367150.723,2257578.857,880.823,BS_INV-26_B_S01,1/28/2026
14022,367177.247,2257578.994,881.226,BS_INV-26_B_S01,1/28/2026
14038,367203.83,2257578.988,882.25,BS_INV-26_B_S01,1/28/2026
14039,367230.385,2257578.965,883.342,BS_INV-26_B_S01,1/28/2026
14040,367257.011,2257578.94,883.703,BS_INV-26_B_S01,1/28/2026
14041,366914.694,2257637.524,881.247,BS_INV-26_B_S01,1/28/2026
14042,366941.309,2257637.553,881.048,BS_INV-26_B_S01,1/28/2026
14043,366967.918,2257637.5,881.137,BS_INV-26_B_S01,1/28/2026
14044,366994.424,2257637.481,881.106,BS_INV-26_B_S01,1/28/2026
14045,367021.082,2257637.503,881.139,BS_INV-26_B_S01,1/28/2026
14046,367047.75,2257637.532,881.047,BS_INV-26_B_S01,1/28/2026
14047,367074.31,2257637.577,881.037,BS_INV-26_B_S01,1/28/2026
14048,367124.085,2257637.52,881.108,BS_INV-26_B_S01,1/28/2026
14049,367150.707,2257637.551,881.487,BS_INV-26_B_S01,1/28/2026
14050,367177.237,2257637.494,882.772,BS_INV-26_B_S01,1/28/2026
14051,367203.801,2257637.569,883.794,BS_INV-26_B_S01,1/28/2026
14052,367230.435,2257637.523,884.333,BS_INV-26_B_S01,1/28/2026
14053,367257.093,2257637.547,884.084,BS_INV-26_B_S01,1/28/2026
14054,367310.253,2257617.984,882.931,BS_INV-26_B_S01,1/28/2026
14055,367283.68,2257637.522,883.748,BS_INV-26_B_S01,1/28/2026
14056,366914.819,2257656.937,880.83,BS_INV-26_B_S01,1/28/2026
14057,366941.323,2257657.046,881.077,BS_INV-26_B_S01,1/28/2026
14058,366967.892,2257657.081,881.065,BS_INV-26_B_S01,1/28/2026
14059,366994.537,2257657.013,881.07,BS_INV-26_B_S01,1/28/2026
14060,367021.164,2257657.022,881.076,BS_INV-26_B_S01,1/28/2026
14061,367047.705,2257657.051,881.148,BS_INV-26_B_S01,1/28/2026
14062,367074.321,2257656.979,881.029,BS_INV-26_B_S01,1/28/2026
14063,367124.105,2257657.022,881.129,BS_INV-26_B_S01,1/28/2026
14064,367150.74,2257657.019,881.646,BS_INV-26_B_S01,1/28/2026
14065,367177.323,2257657.038,882.902,BS_INV-26_B_S01,1/28/2026
14066,367203.824,2257656.996,884.079,BS_INV-26_B_S01,1/28/2026
14067,367230.432,2257656.993,884.456,BS_INV-26_B_S01,1/28/2026
14068,367257.016,2257656.989,884.28,BS_INV-26_B_S01,1/28/2026
14069,367310.253,2257637.508,883.239,BS_INV-26_B_S01,1/28/2026
14071,367283.7,2257617.994,883.562,BS_INV-26_B_S01,1/28/2026
14072,367230.45,2257618.023,883.989,BS_INV-26_B_S01,1/28/2026
14073,367283.582,2257578.962,883.103,BS_INV-26_B_S01,1/28/2026
14074,367310.204,2257578.959,882.885,BS_INV-26_B_S01,1/28/2026
14075,366914.694,2257598.458,881.417,BS_INV-26_B_S01,1/28/2026
14076,366941.281,2257598.445,881.059,BS_INV-26_B_S01,1/28/2026
14077,366967.873,2257598.481,881.015,BS_INV-26_B_S01,1/28/2026
14078,366994.436,2257598.525,881.056,BS_INV-26_B_S01,1/28/2026
14079,367021.024,2257598.509,881.106,BS_INV-26_B_S01,1/28/2026
14080,367047.636,2257598.476,881.116,BS_INV-26_B_S01,1/28/2026
14081,367074.254,2257598.464,881.037,BS_INV-26_B_S01,1/28/2026
14082,367124.083,2257598.454,880.994,BS_INV-26_B_S01,1/28/2026
14083,367150.664,2257598.511,880.845,BS_INV-26_B_S01,1/28/2026
14084,367177.239,2257598.486,881.665,BS_INV-26_B_S01,1/28/2026
14085,367203.815,2257598.442,882.692,BS_INV-26_B_S01,1/28/2026
14086,367257.019,2257618.067,884.02,BS_INV-26_B_S01,1/28/2026
14087,367230.423,2257598.484,883.518,BS_INV-26_B_S01,1/28/2026
14088,367283.58,2257598.5,883.313,BS_INV-26_B_S01,1/28/2026
14089,367310.237,2257598.506,882.874,BS_INV-26_B_S01,1/28/2026
14090,366914.681,2257618.051,881.323,BS_INV-26_B_S01,1/28/2026
14091,366941.303,2257618.018,881.004,BS_INV-26_B_S01,1/28/2026
14092,366967.869,2257618.016,880.876,BS_INV-26_B_S01,1/28/2026
14093,366994.55,2257618.016,881.012,BS_INV-26_B_S01,1/28/2026
14094,367021.066,2257618.004,881.011,BS_INV-26_B_S01,1/28/2026
14095,367047.656,2257617.989,881.025,BS_INV-26_B_S01,1/28/2026
14096,367074.266,2257618.029,880.738,BS_INV-26_B_S01,1/28/2026
14097,367124.081,2257617.997,880.943,BS_INV-26_B_S01,1/28/2026
14098,367150.679,2257618.026,881.048,BS_INV-26_B_S01,1/28/2026
14099,367177.197,2257618.016,882.116,BS_INV-26_B_S01,1/28/2026
14100,367203.836,2257618.008,883.165,BS_INV-26_B_S01,1/28/2026
14101,367256.95,2257598.486,883.66,BS_INV-26_B_S01,1/28/2026
14166,367310.31,2257657.002,883.722,BS_INV-26_B_S01,1/28/2026
34087,367172.996,2257871.53,884.563,BS_INV-26_B_S01,1/28/2026
34088,367146.296,2257871.516,884.699,BS_INV-26_B_S01,1/28/2026
34089,367124.143,2257871.528,884.816,BS_INV-26_B_S01,1/28/2026
34090,367074.256,2257871.529,884.013,BS_INV-26_B_S01,1/28/2026
34091,367047.77,2257871.531,883.524,BS_INV-26_B_S01,1/28/2026
34092,367021.135,2257871.541,882.82,BS_INV-26_B_S01,1/28/2026
34093,366994.492,2257871.554,882.483,BS_INV-26_B_S01,1/28/2026
34094,366967.927,2257871.554,881.993,BS_INV-26_B_S01,1/28/2026
34095,366941.41,2257871.542,881.513,BS_INV-26_B_S01,1/28/2026
34096,366914.8,2257871.592,881.072,BS_INV-26_B_S01,1/28/2026
34097,367172.98,2257890.985,883.92,BS_INV-26_B_S01,1/28/2026
34098,367146.415,2257891.047,884.226,BS_INV-26_B_S01,1/28/2026
34099,367124.143,2257891.054,884.241,BS_INV-26_B_S01,1/28/2026
34100,367074.325,2257890.967,884.123,BS_INV-26_B_S01,1/28/2026
34101,367047.679,2257890.995,883.878,BS_INV-26_B_S01,1/28/2026
34102,367021.183,2257890.991,883.087,BS_INV-26_B_S01,1/28/2026
34103,366994.595,2257891.06,882.448,BS_INV-26_B_S01,1/28/2026
34104,366968.018,2257891.093,881.995,BS_INV-26_B_S01,1/28/2026
34105,366941.383,2257890.987,881.763,BS_INV-26_B_S01,1/28/2026
34123,366914.819,2257891.02,881.357,BS_INV-26_B_S01,1/28/2026
35606,367609.689,2257949.394,877.569,BS_INV-26_B_S01,1/28/2026
35607,367636.27,2257949.392,877.405,BS_INV-26_B_S01,1/28/2026
35608,367662.846,2257949.394,877.383,BS_INV-26_B_S01,1/28/2026
35609,367689.412,2257949.421,877.411,BS_INV-26_B_S01,1/28/2026
35610,367431.227,2257968.928,878.398,BS_INV-26_B_S01,1/28/2026
35611,367457.834,2257968.837,877.496,BS_INV-26_B_S01,1/28/2026
35612,367480.051,2257968.924,877.237,BS_INV-26_B_S01,1/28/2026
35613,367529.843,2257968.948,877.359,BS_INV-26_B_S01,1/28/2026
35614,367556.487,2257968.945,877.505,BS_INV-26_B_S01,1/28/2026
35615,367583.052,2257968.952,877.418,BS_INV-26_B_S01,1/28/2026
35616,367609.692,2257968.971,877.392,BS_INV-26_B_S01,1/28/2026
35617,367636.277,2257968.951,877.265,BS_INV-26_B_S01,1/28/2026
35618,367662.873,2257968.923,877.394,BS_INV-26_B_S01,1/28/2026
35619,367689.461,2257968.919,877.28,BS_INV-26_B_S01,1/28/2026
35620,367431.151,2257988.479,878.704,BS_INV-26_B_S01,1/28/2026
35621,367457.863,2257988.37,877.663,BS_INV-26_B_S01,1/28/2026
35622,367480.108,2257988.372,877.288,BS_INV-26_B_S01,1/28/2026
35623,367529.91,2257988.349,877.484,BS_INV-26_B_S01,1/28/2026
35624,367556.492,2257988.379,877.496,BS_INV-26_B_S01,1/28/2026
35625,367583.061,2257988.445,877.461,BS_INV-26_B_S01,1/28/2026
35626,367609.664,2257988.363,877.581,BS_INV-26_B_S01,1/28/2026
35627,367636.288,2257988.426,877.638,BS_INV-26_B_S01,1/28/2026
35628,367662.862,2257988.421,877.659,BS_INV-26_B_S01,1/28/2026
35629,367689.423,2257988.406,877.435,BS_INV-26_B_S01,1/28/2026
35630,367025.473,2257988.399,884.317,BS_INV-26_B_S01,1/28/2026
35631,367052.012,2257988.405,884.431,BS_INV-26_B_S01,1/28/2026
35632,367074.233,2257988.423,884.253,BS_INV-26_B_S01,1/28/2026
35633,367583.135,2257949.421,877.45,BS_INV-26_B_S01,1/28/2026
35634,367556.491,2257949.402,877.409,BS_INV-26_B_S01,1/28/2026
35635,367529.907,2257949.432,877.4,BS_INV-26_B_S01,1/28/2026
35636,367480.088,2257949.441,877.279,BS_INV-26_B_S01,1/28/2026
35637,367556.477,2257890.913,877.18,BS_INV-26_B_S01,1/28/2026
35638,367583.063,2257890.884,877.155,BS_INV-26_B_S01,1/28/2026
35639,367609.676,2257890.85,877.279,BS_INV-26_B_S01,1/28/2026
35640,367636.266,2257890.886,877.408,BS_INV-26_B_S01,1/28/2026
35641,367662.831,2257890.908,878.005,BS_INV-26_B_S01,1/28/2026
35642,367689.402,2257891.044,879.175,BS_INV-26_B_S01,1/28/2026
35643,367431.1,2257910.448,877.426,BS_INV-26_B_S01,1/28/2026
35644,367457.806,2257910.443,877.48,BS_INV-26_B_S01,1/28/2026
35645,367479.975,2257910.495,877.325,BS_INV-26_B_S01,1/28/2026
35646,367529.913,2257910.378,877.443,BS_INV-26_B_S01,1/28/2026
35647,367556.455,2257910.364,877.393,BS_INV-26_B_S01,1/28/2026
35648,367583.052,2257910.371,877.292,BS_INV-26_B_S01,1/28/2026
35649,367609.688,2257910.327,877.452,BS_INV-26_B_S01,1/28/2026
35650,367124.085,2257988.443,883.61,BS_INV-26_B_S01,1/28/2026
35651,367636.256,2257910.374,877.598,BS_INV-26_B_S01,1/28/2026
35652,367689.444,2257910.373,878.221,BS_INV-26_B_S01,1/28/2026
35653,367431.215,2257929.919,877.623,BS_INV-26_B_S01,1/28/2026
35654,367457.807,2257929.84,877.42,BS_INV-26_B_S01,1/28/2026
35655,367480.022,2257929.936,877.556,BS_INV-26_B_S01,1/28/2026
35656,367529.87,2257929.932,877.551,BS_INV-26_B_S01,1/28/2026
35657,367556.505,2257929.913,877.539,BS_INV-26_B_S01,1/28/2026
35658,367583.08,2257929.88,877.504,BS_INV-26_B_S01,1/28/2026
35659,367609.704,2257929.89,877.58,BS_INV-26_B_S01,1/28/2026
35660,367636.309,2257929.896,877.487,BS_INV-26_B_S01,1/28/2026
35661,367662.827,2257929.846,877.504,BS_INV-26_B_S01,1/28/2026
35662,367689.45,2257929.872,877.795,BS_INV-26_B_S01,1/28/2026
35663,367431.273,2257949.374,878.123,BS_INV-26_B_S01,1/28/2026
35664,367457.829,2257949.396,877.437,BS_INV-26_B_S01,1/28/2026
35665,367662.852,2257910.365,877.653,BS_INV-26_B_S01,1/28/2026
35666,367150.694,2257988.43,883.277,BS_INV-26_B_S01,1/28/2026
35667,367177.256,2257988.446,883.545,BS_INV-26_B_S01,1/28/2026
35668,367203.813,2257988.499,883.631,BS_INV-26_B_S01,1/28/2026
35698,367529.912,2257890.896,877.29,BS_INV-26_B_S01,1/28/2026
35701,367230.422,2257988.459,883.796,BS_INV-26_B_S01,1/28/2026
35702,367256.951,2257988.476,884.177,BS_INV-26_B_S01,1/28/2026
35703,367283.618,2257988.472,884.698,BS_INV-26_B_S01,1/28/2026
35704,366914.676,2257812.984,880.885,BS_INV-26_B_S01,1/28/2026
35705,366941.319,2257813.025,880.852,BS_INV-26_B_S01,1/28/2026
35706,366967.857,2257813.004,881.015,BS_INV-26_B_S01,1/28/2026
35707,366994.431,2257813.023,881.759,BS_INV-26_B_S01,1/28/2026
35708,367021.096,2257812.96,881.998,BS_INV-26_B_S01,1/28/2026
35709,367047.601,2257812.998,882.467,BS_INV-26_B_S01,1/28/2026
35710,367074.237,2257812.972,883.04,BS_INV-26_B_S01,1/28/2026
35711,367124.078,2257812.989,883.479,BS_INV-26_B_S01,1/28/2026
35712,367150.642,2257812.967,883.302,BS_INV-26_B_S01,1/28/2026
35713,367177.219,2257812.973,882.964,BS_INV-26_B_S01,1/28/2026
35715,367203.821,2257812.996,882.549,BS_INV-26_B_S01,1/28/2026
35716,367257.075,2257812.972,882.838,BS_INV-26_B_S01,1/28/2026
35717,367283.647,2257813.016,882.896,BS_INV-26_B_S01,1/28/2026
35729,367230.46,2257812.985,882.52,BS_INV-26_B_S01,1/28/2026
35731,367479.954,2257891.021,877.432,BS_INV-26_B_S01,1/28/2026
35732,367431.088,2257890.957,877.364,BS_INV-26_B_S01,1/28/2026
35796,367480.164,2257832.522,877.251,BS_INV-26_B_S01,1/28/2026
35797,367529.861,2257832.558,877.586,BS_INV-26_B_S01,1/28/2026
35798,367556.451,2257832.413,877.582,BS_INV-26_B_S01,1/28/2026
35799,367582.976,2257832.465,877.109,BS_INV-26_B_S01,1/28/2026
35800,367609.458,2257832.407,877.676,BS_INV-26_B_S01,1/28/2026
35801,367636.115,2257832.603,879.239,BS_INV-26_B_S01,1/28/2026
35802,367662.789,2257832.49,880.448,BS_INV-26_B_S01,1/28/2026
35803,367689.384,2257832.522,881.259,BS_INV-26_B_S01,1/28/2026
35804,367431.264,2257852.168,878.187,BS_INV-26_B_S01,1/28/2026
35805,367457.774,2257852.029,877.287,BS_INV-26_B_S01,1/28/2026
35806,367480,2257852.082,877.634,BS_INV-26_B_S01,1/28/2026
35807,367529.868,2257852.016,877.48,BS_INV-26_B_S01,1/28/2026
35808,367556.422,2257852.033,877.47,BS_INV-26_B_S01,1/28/2026
35809,367457.766,2257832.545,877.87,BS_INV-26_B_S01,1/28/2026
35810,367583.084,2257851.978,877.466,BS_INV-26_B_S01,1/28/2026
35811,367636.223,2257852.058,878.109,BS_INV-26_B_S01,1/28/2026
35812,367662.731,2257851.936,879.221,BS_INV-26_B_S01,1/28/2026
35813,367689.383,2257852.051,880.436,BS_INV-26_B_S01,1/28/2026
35814,367431.267,2257871.47,877.584,BS_INV-26_B_S01,1/28/2026
35815,367457.727,2257871.421,877.371,BS_INV-26_B_S01,1/28/2026
35816,367480.022,2257871.537,877.431,BS_INV-26_B_S01,1/28/2026
35817,367529.795,2257871.502,877.396,BS_INV-26_B_S01,1/28/2026
35818,367556.396,2257871.461,877.21,BS_INV-26_B_S01,1/28/2026
35819,367583.027,2257871.575,877.422,BS_INV-26_B_S01,1/28/2026
35820,367609.668,2257871.466,877.314,BS_INV-26_B_S01,1/28/2026
35821,367636.214,2257871.531,877.739,BS_INV-26_B_S01,1/28/2026
35822,367662.822,2257871.517,878.553,BS_INV-26_B_S01,1/28/2026
35823,367689.323,2257871.451,879.815,BS_INV-26_B_S01,1/28/2026
35824,367609.668,2257852.039,877.378,BS_INV-26_B_S01,1/28/2026
35825,367457.694,2257890.963,877.162,BS_INV-26_B_S01,1/28/2026
35826,367431.057,2257832.573,879.378,BS_INV-26_B_S01,1/28/2026
35827,367662.618,2257813.022,881.457,BS_INV-26_B_S01,1/28/2026
35841,367689.259,2257812.985,882.741,BS_INV-26_B_S01,1/28/2026
35848,367431.079,2257813.077,880.362,BS_INV-26_B_S01,1/28/2026
35849,367457.69,2257813.069,879.341,BS_INV-26_B_S01,1/28/2026
35850,367479.993,2257813.161,878.817,BS_INV-26_B_S01,1/28/2026
35851,367529.861,2257813.048,877.983,BS_INV-26_B_S01,1/28/2026
35852,367556.403,2257813.063,877.711,BS_INV-26_B_S01,1/28/2026
35853,367582.948,2257813.045,878.237,BS_INV-26_B_S01,1/28/2026
35854,367609.566,2257813.034,879.147,BS_INV-26_B_S01,1/28/2026
35855,367636.152,2257813,880.402,BS_INV-26_B_S01,1/28/2026
36624,367556.34,2258066.386,877.221,BS_INV-26_B_S01,1/28/2026
36625,367583.006,2258066.375,877.273,BS_INV-26_B_S01,1/28/2026
36626,367609.535,2258066.433,877.441,BS_INV-26_B_S01,1/28/2026
36627,367636.124,2258066.426,877.645,BS_INV-26_B_S01,1/28/2026
36628,367662.721,2258066.405,877.835,BS_INV-26_B_S01,1/28/2026
36629,367689.428,2258066.513,878.561,BS_INV-26_B_S01,1/28/2026
36630,367408.927,2258085.904,877.921,BS_INV-26_B_S01,1/28/2026
36631,367431.173,2258085.959,877.534,BS_INV-26_B_S01,1/28/2026
36632,367457.752,2258085.907,877.606,BS_INV-26_B_S01,1/28/2026
36633,367480.035,2258085.879,877.412,BS_INV-26_B_S01,1/28/2026
36634,367529.778,2258085.895,877.566,BS_INV-26_B_S01,1/28/2026
36635,367556.388,2258085.85,877.616,BS_INV-26_B_S01,1/28/2026
36636,367582.989,2258085.854,877.541,BS_INV-26_B_S01,1/28/2026
36637,367609.585,2258085.909,877.469,BS_INV-26_B_S01,1/28/2026
36638,367636.149,2258085.885,877.574,BS_INV-26_B_S01,1/28/2026
36639,367662.739,2258085.876,878.216,BS_INV-26_B_S01,1/28/2026
36640,367689.399,2258086.152,879.295,BS_INV-26_B_S01,1/28/2026
36641,367408.948,2258105.396,878.039,BS_INV-26_B_S01,1/28/2026
36642,367431.211,2258105.377,877.442,BS_INV-26_B_S01,1/28/2026
36643,367457.826,2258105.289,877.428,BS_INV-26_B_S01,1/28/2026
36644,367479.993,2258105.379,877.36,BS_INV-26_B_S01,1/28/2026
36645,367529.724,2258105.39,877.388,BS_INV-26_B_S01,1/28/2026
36646,367556.406,2258105.444,877.504,BS_INV-26_B_S01,1/28/2026
36647,367582.941,2258105.325,877.504,BS_INV-26_B_S01,1/28/2026
36648,367609.58,2258105.397,877.396,BS_INV-26_B_S01,1/28/2026
36649,367636.078,2258105.358,877.732,BS_INV-26_B_S01,1/28/2026
36650,367662.747,2258105.41,878.371,BS_INV-26_B_S01,1/28/2026
36651,367529.783,2258066.39,877.429,BS_INV-26_B_S01,1/28/2026
36652,367480.002,2258066.399,877.499,BS_INV-26_B_S01,1/28/2026
36653,367457.751,2258066.365,877.536,BS_INV-26_B_S01,1/28/2026
36654,367431.162,2258066.39,877.44,BS_INV-26_B_S01,1/28/2026
36655,367583.03,2258007.948,877.316,BS_INV-26_B_S01,1/28/2026
36656,367609.445,2258007.865,877.358,BS_INV-26_B_S01,1/28/2026
36657,367636.262,2258007.912,877.522,BS_INV-26_B_S01,1/28/2026
36658,367662.831,2258007.858,877.33,BS_INV-26_B_S01,1/28/2026
36659,367689.448,2258007.903,877.903,BS_INV-26_B_S01,1/28/2026
36660,367408.907,2258027.447,880.076,BS_INV-26_B_S01,1/28/2026
36661,367431.176,2258027.443,878.794,BS_INV-26_B_S01,1/28/2026
36662,367457.786,2258027.378,877.855,BS_INV-26_B_S01,1/28/2026
36663,367480.101,2258027.469,877.506,BS_INV-26_B_S01,1/28/2026
36664,367529.877,2258027.361,877.516,BS_INV-26_B_S01,1/28/2026
36665,367556.45,2258027.384,877.464,BS_INV-26_B_S01,1/28/2026
36666,367583.056,2258027.419,877.378,BS_INV-26_B_S01,1/28/2026
36667,367609.687,2258027.369,877.466,BS_INV-26_B_S01,1/28/2026
36668,367689.346,2258105.529,879.726,BS_INV-26_B_S01,1/28/2026
36669,367636.15,2258027.45,877.464,BS_INV-26_B_S01,1/28/2026
36670,367689.459,2258027.399,878.059,BS_INV-26_B_S01,1/28/2026
36671,367408.919,2258046.952,879.08,BS_INV-26_B_S01,1/28/2026
36672,367431.289,2258046.88,877.964,BS_INV-26_B_S01,1/28/2026
36673,367457.817,2258046.895,877.423,BS_INV-26_B_S01,1/28/2026
36674,367480.068,2258046.924,877.464,BS_INV-26_B_S01,1/28/2026
36675,367529.907,2258046.921,877.451,BS_INV-26_B_S01,1/28/2026
36676,367556.507,2258046.863,877.335,BS_INV-26_B_S01,1/28/2026
36677,367583.074,2258046.896,877.489,BS_INV-26_B_S01,1/28/2026
36678,367609.719,2258046.903,877.497,BS_INV-26_B_S01,1/28/2026
36679,367636.178,2258046.932,877.702,BS_INV-26_B_S01,1/28/2026
36680,367662.847,2258046.847,877.612,BS_INV-26_B_S01,1/28/2026
36681,367689.381,2258046.874,878.233,BS_INV-26_B_S01,1/28/2026
36682,367408.967,2258066.383,878.29,BS_INV-26_B_S01,1/28/2026
36683,367662.842,2258027.422,877.574,BS_INV-26_B_S01,1/28/2026
36684,367408.932,2258124.869,878.133,BS_INV-26_B_S01,1/28/2026
36685,367431.173,2258124.896,877.286,BS_INV-26_B_S01,1/28/2026
36686,367457.789,2258124.864,877.23,BS_INV-26_B_S01,1/28/2026
36687,367457.775,2258183.353,877.878,BS_INV-26_B_S01,1/28/2026
36688,367480.042,2258183.338,877.41,BS_INV-26_B_S01,1/28/2026
36689,367529.814,2258183.394,877.567,BS_INV-26_B_S01,1/28/2026
36690,367556.448,2258183.371,877.443,BS_INV-26_B_S01,1/28/2026
36691,367582.973,2258183.355,877.347,BS_INV-26_B_S01,1/28/2026
36692,367609.576,2258183.427,878.023,BS_INV-26_B_S01,1/28/2026
36693,367636.137,2258183.561,879.057,BS_INV-26_B_S01,1/28/2026
36694,367662.726,2258183.498,880.516,BS_INV-26_B_S01,1/28/2026
36695,367689.384,2258183.578,882.127,BS_INV-26_B_S01,1/28/2026
36696,367408.865,2258202.875,881.293,BS_INV-26_B_S01,1/28/2026
36697,367431.154,2258202.891,880.028,BS_INV-26_B_S01,1/28/2026
36698,367457.875,2258202.889,879.022,BS_INV-26_B_S01,1/28/2026
36699,367480.079,2258202.884,878.147,BS_INV-26_B_S01,1/28/2026
36700,367431.144,2258183.386,879.018,BS_INV-26_B_S01,1/28/2026
36701,367529.861,2258202.891,877.863,BS_INV-26_B_S01,1/28/2026
